/NOP/
2,3,1,"schwert1",1,0,1,-11,0,0,0,1,2,0,0,0,0,0,"(serinjah-sword)",0,0,19,0,204,221,244,255,9,
3,3,2,"flour",1,0,-1,-8,0,0,0,1,5,0,0,0,0,0,"(flour)",0,0,20,0,-1,-1,-1,-1,0,
4,3,3,"logs_fir",1,0,0,-16,0,0,0,1,6,0,0,0,20,0,"(conifer wood)",0,0,20,0,-1,-1,-1,-1,0,
5,3,4,"armor",1,0,0,-10,0,0,0,1,4,0,0,0,20,0,"(plate armor)",0,0,21,0,128,128,128,255,5,
6,3,5,"dough",1,0,0,-8,0,0,0,1,5,0,0,0,0,0,"(dough)",0,0,20,0,-1,-1,-1,-1,0,
7,3,6,"scissors",1,0,-4,-7,0,0,0,1,6,0,0,0,0,0,"(scissors)",0,0,22,0,-1,-1,-1,-1,0,
8,3,7,"vikinghelmet2_",1,0,0,-12,0,0,0,1,4,0,0,0,0,0,"(horned helmet)",0,0,21,0,255,205,200,255,2,
9,1,8,"box",1,0,0,-13,0,0,0,1,7,0,0,0,20,1,"(wooden chest)",0,30,4,0,-1,-1,-1,-1,0,
10,3,9,"saw",1,0,0,-8,0,0,0,1,6,0,0,0,0,0,"(saw)",0,0,22,0,-1,-1,-1,-1,0,
11,3,10,"portal",8,1,2,-11,3,0,0,0,10,0,0,0,30,0,"(portal)",0,0,5,26479,-1,-1,-1,-1,0,
12,3,11,"apfel_leer",4,2,30,-9,0,1,0,0,1,65,0,20,50,1,"(apple tree)",0,0,14,0,-1,-1,-1,-1,0,
13,3,12,"fire",10,1,2,-14,15,0,0,0,7,0,0,0,20,0,"(camp fire)",0,0,7,48985,-1,-1,-1,-1,0,
15,3,14,"apfel_voll",4,2,29,-9,0,1,0,0,1,65,0,20,50,1,"(apple tree)",0,0,14,0,-1,-1,-1,-1,0,
16,3,15,"apple",1,0,0,-6,0,0,0,1,5,0,0,0,0,0,"(apple)",0,0,25,0,-1,-1,-1,-1,0,
17,3,16,"vikinghelmet_",1,0,0,-10,0,0,0,1,4,0,0,0,0,0,"(orc helmet)",0,0,21,0,128,128,128,255,2,
18,3,17,"woodshield",1,0,0,-11,0,0,0,1,2,0,0,0,0,0,"(wooden shield)",0,0,19,0,152,112,6,255,21,
19,3,18,"metshield1",1,0,-1,-8,0,0,0,1,2,0,0,0,0,0,"(light metal shield)",0,0,19,0,85,110,50,255,15,
20,3,19,"metshield2",1,0,-2,-7,0,0,0,1,2,0,0,0,0,0,"(metal shield)",0,0,19,0,213,214,162,255,15,
21,3,20,"metshield3",1,0,0,-7,0,0,0,1,2,0,0,0,0,0,"(large metal shield)",0,0,19,0,208,212,70,255,15,
22,3,21,"coal",1,0,-1,-10,0,0,0,1,6,0,0,0,0,0,"(coal)",0,0,20,0,-1,-1,-1,-1,0,
23,3,22,"eisenerz",1,0,1,-12,0,0,0,1,6,0,0,0,0,0,"(iron ore)",0,0,20,0,-1,-1,-1,-1,0,
24,3,23,"hammer",1,0,0,-6,0,0,0,1,6,0,0,0,0,0,"(hammer)",0,0,22,0,205,205,205,225,24,
25,3,24,"schaufel",1,0,-1,-13,0,0,0,1,6,0,0,0,0,0,"(shovel)",0,0,22,0,-1,-1,-1,-1,0,
26,3,25,"sabre2",1,0,0,-8,0,0,0,1,2,0,0,0,0,0,"(sabre)",0,0,19,0,200,200,200,255,9,
28,3,27,"dolch1",1,0,0,-7,0,0,0,1,2,0,0,0,0,0,"(simple dagger)",0,0,19,0,205,190,205,255,29,
30,3,29,"cave",1,0,5,-49,0,0,0,0,3,0,0,0,0,0,"(cave)",0,0,6,0,-1,-1,-1,-1,0,
31,3,30,"hwall",1,0,-14,-5,0,1,3,0,3,0,0,0,1000,1,"(wall)",0,0,8,0,-1,-1,-1,-1,0,
32,3,31,"vwall",1,0,14,-5,0,1,1,0,3,0,0,0,1000,1,"(wall)",0,0,8,0,-1,-1,-1,-1,0,
33,3,32,"hwall",1,0,14,-18,0,1,3,0,3,0,0,0,1000,1,"(wall)",0,0,8,0,-1,-1,-1,-1,0,
